,precio-dto,precio-lista,descripcion
0,,"$ 52,00",Agua mineralizada con gas Carrefour 2 l.
1,,"$ 217,15",Agua mineral sin gas Sierra de los Padres bidón 6.5 l.
2,,"$ 203,60",Agua de mesa Kin sin gas 6 l.
3,,"$ 53,00",Agua de mesa Kin sin gas 1.5 l.
4,,"$ 79,59",Agua mineral sin gas Ser sin TACC 2.25 l.
5,,"$ 224,06",Agua de mesa Villa del Sur sin gas bidón 6.25 l.
6,,"$ 54,11",Agua saborizada manzana sin gas Brio 1.5 l.
7,,"$ 54,10",Agua saborizada naranja sin gas Brio 1.5 l.
8,,"$ 81,70",Gaseosa lima limón Cunnington light 2.25 l.
9,,"$ 84,90",Agua de mesa Kin sin gas 2.25 l.
10,,"$ 57,36",Agua saborizada pomelo sin gas Brio 1.5 l.
11,,"$ 57,80",Agua mineral sin gas Sierra De Los Padres 1.5 l.
12,"$ 65,25","$ 87,00",Agua saborizada Cimes naranja 2.25 l.
13,,"$ 89,70",Agua de mesa sin gas Nestlé 2.25 l.
14,,"$ 90,00",Gaseosa Cunnington pomelo 2.25 l.
15,,"$ 255,15",Agua mineralizada sin gas Glaciar bidón bajo sodio 6.3 l.
16,,"$ 93,00",Gaseosa Carrefour triple 0 tónica 2.5 l.
17,,"$ 93,00",Gaseosa Carrefour light pomelo 2.25 l.
18,,"$ 93,00",Gaseosa Carrefour light lima limón 2.25 l.
19,,"$ 93,00",Gaseosa Carrefour light naranja 2.25 l.
20,,"$ 93,00",Gaseosa Carrefour triple 0 lima limón 2.5 l.
21,,"$ 93,00",Gaseosa Carrefour triple 0 Pomelo 2.5 l.
22,,"$ 93,00",Gaseosa Carrefour triple 0 cola 2.5 l.
23,,"$ 93,00",Gaseosa Carrefour triple 0 naranja 2.25 l.
24,"$ 73,50","$ 98,00",Agua saborizada Cimes citrus 2.25 l.
25,"$ 73,50","$ 98,00",Agua saborizada Cimes limonada 2.25 l.
26,,"$ 99,40",Gaseosa pomelo Secco sin azúcar botella 2.25 l.
27,,"$ 99,40",Gaseosa cola Secco sin azúcar botella 2.25 l.
28,,"$ 99,40",Gaseosa lima limón Secco sin azúcar botella 2.25 l.
29,,"$ 101,00",Gaseosa Crush sin azúcar naranja 2.25 l.
30,,"$ 101,00",Gaseosa Crush sin azúcar lima-limón 2.25 l.
31,,"$ 67,89",Agua mineral sin gas Eco de los Andes 1.5 l.
32,,"$ 103,00",Gaseosa Carrefour tónica 2.25 l.
33,,"$ 103,00",Gaseosa Carrefour cola 2.25 l.
34,,"$ 103,00",Gaseosa Carrefour naranja 2.25 l.
35,,"$ 103,00",Gaseosa Carrefour pomelo 2.25 l.
36,,"$ 68,80",Jugo concentrado Carioca naranja 1.5 l.
37,"$ 78,00","$ 104,00",Agua mineral sin gas Villa del Sur 2.25 l.
38,,"$ 94,60",Agua mineral sin gas Villavicencio 2 l.
39,,"$ 106,70","Gaseosa Cunnington limon regular 2,25 l."
40,,"$ 106,70",Gaseosa manzana Secco 2.25 l.
41,,"$ 106,70",Gaseosa pomelo Secco 2.25 l.
42,,"$ 106,70",Gaseosa lima limón Secco 2.25 l.
43,,"$ 107,90",Gaseosa Cunnington lima limón 2.25 l.
44,,"$ 108,90",Gaseosa pomelo light Cunnington 2.25 l.
45,,"$ 108,90",Gaseosa Cunnington tónica 2.25 l.
46,,"$ 108,99",Gaseosa Crush sin azúcar pomelo amarillo 2.25 l.
47,"$ 72,75","$ 97,00",Agua saborizada con gas Carrefour citrus 2 l.
48,"$ 72,75","$ 97,00",Agua saborizada con gas Carrefour naranja y durazno 2 l.
49,,"$ 109,29",Gaseosa Cunnington tónica sin azúcar 2.25 l.
50,,"$ 72,93",Gaseosa Schweppes tónica 1.5 l.
51,,"$ 110,00",Gaseosa lima limón Doble Cola regular pet 2.25 l.
52,,"$ 110,00",Gaseosa naranja Doble Cola regular pet 2.25 l.
53,,"$ 110,00",Gaseosa pomelo Doble Cola regular pet 2.25 l.
54,,"$ 123,90",Agua mineral sin gas Villa del Sur pet 2.5 l.
55,,"$ 82,68",Agua mineral sin gas Villa del Sur 1.65 l.
56,"$ 86,25","$ 115,00",Agua saborizada Carrefour cero manzana 2.25 l.
57,"$ 86,25","$ 115,00",Agua saborizada Carrefour cero naranja 2.25 l.
58,,"$ 116,90",Jugo Hi-C manzana 2.25 l.
59,,"$ 78,65",Gaseosa cola Cunnington sin azucar 1.5 l. sin TACC
60,,"$ 122,50",Gaseosa pomelo intenso Secco botella 2.25 l.
61,,"$ 85,05",Aperitivo sin alcohol Tres Torres serrano 1.5 l.
62,,"$ 85,74",Aperitivo sin alcohol Tres Torres blanco 1.5 l.
63,,"$ 87,00",Aperitivo sin alcohol Carrefour pomelo 1.5 l.
64,,"$ 87,00",Aperitivo sin alcohol Carrefour cordillera 1.5 l.
65,,"$ 87,00",Aperitivo sin alcohol Carrefour citrus 1.5 l.
66,"$ 66,00","$ 88,00",Agua saborizada Sierra de los Padres citrus 1.5 l.
67,"$ 66,75","$ 89,00",Agua saborizada con gas Carrefour limón 1.5 l.
68,,"$ 135,00",Gaseosa Doble Cola regular cola 2.25 l.
69,,"$ 90,00",Gaseosa Cunnington ginger ale 1.5 l.
70,,"$ 92,10",Agua saborizada Sierra De Los Padres manzana 1.5 l.
71,,"$ 92,10",Agua saborizada Sierra De Los Padres pomelo sin gas 1.5 l.
72,,"$ 92,10",Agua saborizada Sierra De Los Padres naranja 1.5 l.
73,,"$ 93,30",Agua tónica Sierra de los Padres 1.5 l.
74,"$ 69,98","$ 93,30",Agua saborizada Sierra de los Padres pomelo blanco 1.5 l.
75,"$ 70,65","$ 94,20",Agua sabor sin gas manzana Bio Balance botella 1.5 l.
76,"$ 109,88","$ 146,50",Agua saborizada Aquarius pera 2.25 l.
77,"$ 109,88","$ 146,50",Agua saborizada Aquarius pomelo 2.25 l.
78,"$ 109,88","$ 146,50",Agua saborizada Aquarius manzana 2.25 l.
79,,"$ 147,10",Gaseosa Schweppes sin azúcar pomelo 2.25 l.
80,,"$ 99,10",Agua mineral sin gas Villavicencio 1.5 l.
81,,"$ 100,98",Aperitivo sin alcohol Tres Torres limón 1.5 l.
82,,"$ 100,98",Aperitivo sin alcohol naranja Tres Torres 1.5 l
83,,"$ 100,98",Aperitivo Tres Torres amargo pomelo rosado 1.5 l.
84,,"$ 103,00",Agua mineral con gas Villavicencio 1.5 l.
85,,"$ 105,35",Agua saborizada con gas H2Oh limóneto 1.5 l.
86,,"$ 211,85",Gaseosa pomelo regular Mirinda pet 3 l.
87,"$ 120,00","$ 160,00",Agua saborizada Villa del Sur Levité pera 2.25 l.
88,,"$ 161,25",Jugo Cepita del valle fresh naranja 2.25 l.
89,,"$ 161,25",Jugo Cepita del valle fresh manzana 2.25 l.
90,,"$ 161,25",Jugo Cepita del valle fresh pomelo 2.25 l.
91,"$ 80,78","$ 107,70",Agua saborizada Aquarius pera 1.5 l.
92,"$ 80,78","$ 107,70",Agua saborizada Aquarius pomelo 1.5 l.
93,"$ 80,78","$ 107,70",Agua saborizada Aquarius manzana 1.5 l.
94,,"$ 162,85",Agua saborizada Ser citrus 2.25 l.
95,,"$ 108,70",Gaseosa Sprite sin azúcares lima limón 1.5 l.
96,,"$ 108,99",Jugo Cepita del valle fresh naranja 1.5 l.
97,,"$ 109,95",Gaseosa limón Pritty regular pet 1.5 l.
98,,"$ 17,60",Jugo en polvo Carrefour naranja mango 24 g.
99,,"$ 17,60",Jugo en polvo Carrefour manzana 24 g.
100,,"$ 17,60",Jugo en polvo Carrefour naranja 24 g.
101,,"$ 166,76",Gaseosa Paso de los Toros pomelo 2.25 l.
102,,"$ 112,00",Aperitivo sin alcohol Tacconi serrano 1.5 l.
103,,"$ 112,00",Aperitivo sin alcohol Tacconi limón 1.5 l.
104,,"$ 112,00",Aperitivo sin alcohol Tacconi blanco 1.5 l.
105,,"$ 112,50",Aperitivo sin alcohol naranja Tacconi 1.5 l
106,,"$ 112,80",Agua mineral Smartwater sin gas 1.5 l.
107,,"$ 113,00",Jugo Cepita del valle fresh pomelo 1.5 l.
108,,"$ 170,00",Gaseosa Pritty limón cero 2.25 l.
109,,"$ 170,00",Gaseosa Pritty limón 2.25 l.
110,,"$ 113,50",Gaseosa Schweppes sin azúcar pomelo 1.5 l.
111,,"$ 114,15",Agua sin gas Villavicencio botella reciclada 1.5 l.
112,,"$ 171,33",Agua saborizada con gas Ser we limón 2.25 l.
113,,"$ 114,70",Jugo Cepita del valle fresh manzana 1.5 l.
114,"$ 130,80","$ 174,40",Agua saborizada Villa del Sur Levité pomelo 2.25 l.
115,"$ 130,80","$ 174,40",Agua saborizada Villa del Sur Levité manzana 2.25 l.
116,"$ 130,80","$ 174,40",Agua saborizada Villa del Sur Levité naranja 2.25 l.
117,"$ 87,30","$ 116,40",Agua saborizada Villa del Sur Levité pomelo 1.5 l.
118,"$ 87,30","$ 116,40",Agua saborizada Villa del Sur Levité manzana 1.5 l.
119,"$ 87,30","$ 116,40",Agua saborizada Villa del Sur Levité naranja 1.5 l.
120,,"$ 117,26",Agua saborizada con gas We citrus 1.5 l.
121,,"$ 137,00",Gaseosa Sprite sin azúcar lima-limón 1.75 l.
122,"$ 132,75","$ 177,00",Agua saborizada Awafrut sin gas pomelo sin azúcar 2.25 l.
123,"$ 132,75","$ 177,00",Agua saborizada Awafrut sin gas nar dur sin azúcar 2.25 l.
124,,"$ 119,95",Gaseosa Pritty limón cero 1.5 l.
125,,"$ 120,00",Jugo Cuarto Creciente graviola con stevia 1500 cc.
126,"$ 99,19","$ 132,25",Agua saborizada Awafrut sin gas nar dur sin azúcar 1.65 l.
127,,"$ 141,78",Gaseosa cola Coca Cola sin azúcar pet 1.75 l.
128,,"$ 142,02",Gaseosa Fanta naranja 1.75 l.
